config,source_article,logical_fallacies
edu,"My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.",fallacy of credibility
edu,"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",ad hominem
edu,"It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why, look at all the people trapped in jobs they don’t like.",fallacy of logic
edu,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.

Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.

Audrey: Get to bed, Freddie. And no more SYFY channel before bed!",intentional
edu,Beyond Meat burgers are healthy for us because they do not have any meat in them.,fallacy of credibility
edu,We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,appeal to emotion
edu,"According to my brain, my brain is reliable.",circular reasoning
edu,"""Coronavirus originated in China, therefore all Chinese people are sick.""",fallacy of extension
edu,"Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.",false dilemma
edu,"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.
¡Nunca debes apostar! Una vez que empiece a jugar, le resultará difícil dejar de jugar. Pronto gastará todo su dinero en juegos de azar y, finalmente, recurrirá a la delincuencia solo para apoyar su adicción al juego.",faulty generalization
edu,"""I should receive an 'A' in this class. I had a tough week!"" Hadi begged",appeal to emotion
edu,"I know you don't like the kitty-cat  sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
edu,"We're going to celebrate New Year's Eve this way because that's how we've always done it.
This is an example of ...",fallacy of credibility
edu,"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of extension
edu,"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",fallacy of logic
edu,This is why a woman shouldn’t do a man's job,ad hominem
edu,"If we allow Susan to leave early, soon we'll be giving everyone Friday afternoon off.",faulty generalization
edu,"""I want my daughter to go to a state university so she can avoid too much debt.""
""Why do you think state schools are better than private schools? Harvard and Princeton are private."" What is this?",fallacy of extension
edu,"Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday.
Which logical fallacy is represented here?",faulty generalization
edu,Children should not listen to rap music. Everyone knows that.,ad populum
edu,"If you vote for her, the government as we know it will fall apart.",faulty generalization
edu,Arguing based on whether something is popular,ad populum
edu,"only man is rational
no women is man
Therefore, no women is rational",equivocation
edu,"I had a real bad headache, then saw my doctor.  Just by talking with him, my headache started to subside, and I was all better the next day.  It was well worth the $200 visit fee.",false causality
edu,"What type of propaganda uses negative words or feelings against an idea, product or person?",ad hominem
edu,"Board Member: “If this company is going to maximize its profits in the coming year, we need to fully exploit all of our available resources.”
Human Resources Director: “Not so fast. Our employees are one of our most valued resources, and we have a strict policy against exploiting our workers.”",equivocation
edu,"Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice.",ad hominem
edu,I guess I should buy my 12-year-old daughter an iPhone.  Everyone at her new school has one and I want her to fit in with the other kids.,ad populum
edu,Our soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!,false causality
edu,People like to walk on the beach. Beaches have sand. We should put sand on the floor in our living room.,fallacy of logic
edu,"You can't give me a C! I'm an A student, a C is just wrong!",circular reasoning
edu,Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that if this many friends are eating this way that this must be the healthy way to eat so she joins them. This is an example of which logical fallacy?,ad populum
edu,"Congressman Darell Issa calls White House Spokesperson Jay Carney a ""paid liar.""",ad hominem
edu,"If I have cable, then I have seen a naked lady.
I don’t have cable.
Therefore, I have never seen a naked lady.",fallacy of logic
edu,If the country is ever going to be safe from terrorists we have to close the borders.,false causality
edu,"In the debate at Harvard, one of the Harvard team’s debaters rebutted Samantha Booke’s argument that Henry David Thoreau, a Harvard graduate, proposed civil disobedience as a means to protest unjust laws. The Harvard debater rebutted her by saying, “Thoreau could never know that Adolph Hitler would agree with him.” A BETTER rebuttal would have been to…",fallacy of credibility
edu,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",ad populum
edu,"If you write to Mrs. Roth and tell her: ""Mrs Roth, I know I haven't done any of the assignments, but I need a C anyway because I'm asking nicely and I'm good person, and I'm going to get in trouble if you don't.""",appeal to emotion
edu,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine.  I can't believe you think the government should be allowed to regulate what I share with my ""friends.""  No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension
edu,People either like coffee or hate it.,false dilemma
edu,“The economy has improved greatly because of the new president.”,false causality
edu,"Michael is part of the Jackson Five.  Without Tito and company, he will never make it.",faulty generalization
edu,"Sarah wakes up one morning to find that she has just slept through her anatomy test. She emails her teacher and asks if she can make up the test. Sarah states that she deserves to take it over because she didn't sleep well because her boyfriend just broke up with her, her dog is sick and she stained her favorite dress. What fallacy is this?",appeal to emotion
edu,"""The research I found on cell phone use in the classroom suggests that students can be distracted when they have access to texting. This leads me to believe that all high school students should not be allowed to have their phones on them at school anytime.",fallacy of logic
edu,"Dave: For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children.  Therefore, it is my duty to become a doctor.
Kaitlin: Do you want to become a doctor?
Dave: It doesn’t matter -- it is our family tradition.  Who am I to break it?
",fallacy of credibility
edu,"Mom: Watching TV that close will make you go blind, so move back!
Jonny: That is B.S., Mom. Sorry, I am not moving.
",false causality
edu,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.,faulty generalization
edu,"The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.",false causality
edu,"If someone told you, ""Why should we be worrying about how the government treats Native people, when people in our city can't get a job?"" what logical fallacy are they using?",fallacy of relevance
edu,"""Of course I can read Spanish! Look, I just finished this book by Jorge Luis Borges!""
""You lie! Borges isn't Spanish. He's from Argentina.""",equivocation
edu,"The new vice president has never gone to public school, so he can never connect to the middle and lower class.",ad hominem
edu,Distracting and dangerous mobile devices should be banned from use in vehicles.,circular reasoning
edu,"This technique uses the logic: Everyone else is doing it, you should too!",ad populum
edu,"David: We have way too much police presence in this city.
Pete: What are you going to do about it?
David: Vandalize, loot, and perhaps a little arson.
",false causality
edu,That song is stupid because I don't know that musician.,fallacy of relevance
edu,"""You'll make the right decision because you have something that not many people do: you have heart.""?",appeal to emotion
edu,"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.",ad hominem
edu,Give me liberty or give me death,fallacy of credibility
edu,"""A dog would be a great addition to our family. Think about how wonderful it would be to come home to a happy, excited, loving dog?"" This is an example of which persuasive technique?",appeal to emotion
edu,Only fools are out in public right now. Careful people are staying home.,ad hominem
edu,"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders.",fallacy of credibility
edu,"Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend.",false causality
edu,"Salesguy: You should definitely buy this car.  You look so good in it -- you look at least ten years younger behind that wheel.
Tamera: I’ll take it!
",appeal to emotion
edu,"""Schools should provide nutritious lunches to students.""
""So schools should take money away from technology and necessary supplies in the classroom?""",fallacy of extension
edu,"President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.",false causality
edu,"If you don't drive a car, you hate the Earth.",fallacy of extension
edu,"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.",false causality
edu," 
The presence of police at protests cause an escalation of violence. It was the case that at the protest last night attended by uniformed police, there was an escalation of violence. Therefore, police should not be at protests.",false causality
edu,"“Either you love me, or you hate me.”",false dilemma
edu,I have several female friends and every one of them loves country music. All females love country music.,faulty generalization
edu,People who learn from their mistakes don't repeat them.,faulty generalization
edu,"Mother: It’s bedtime Jane

Jane: Mom, how do ants feed their babies?

Mother: Don’t know dear, close your eyes now.

Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance
edu,"ghosts must exist, because nobody has been able to prove that they don't is an example of",intentional
edu,"We've got to stop them from banning pornography. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!",faulty generalization
edu,America: Love it or leave it,false dilemma
edu,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",fallacy of credibility
edu,War on drugs instills fear to criminals so it can stop the crimes in the Philippines.,faulty generalization
edu,"Fewer tourists were recorded to have entered the country. This datum was gathered after Karapatan exposed the human rights violations happening here; therefore, Karapatan's expose was the reason for the low tourist turn out.",false causality
edu,"""I started exercising twice a week, and I just got a babysitting job. Exercising leads to new jobs!""",false causality
edu,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",fallacy of logic
edu,"Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization.",faulty generalization
edu,Confession is good for the soul.,faulty generalization
edu,"Although we have proven that the moon is not made of spare ribs, we have not proven that its core cannot be filled with them; therefore, the moon’s core is filled with spare ribs.",intentional
edu,", when in fact more possibilities exist.",false dilemma
edu,We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,faulty generalization
edu,"My opponent says I am weak on crime, but I have been one of the most reliable participants in city council meetings.",fallacy of relevance
edu,"Every time I wash my car, it rains",false causality
edu,Marty said that his Xbox One X had better resolution than Phil’s PS4 during their gaming console debate. Phil suddenly brought up how powerful his PC was when Marty started talking about the specs of the two gaming consoles.,fallacy of relevance
edu,"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good.",ad hominem
edu,"""Annie must like Starbucks because all girls like Starbucks.""",faulty generalization
edu,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it’s reasonable to conclude that chocolate helps keep your weight down.",false causality
edu,"""All sports car drivers are too aggressive!"" is an example of:",faulty generalization
edu,"Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.",false causality
edu,"Mom: ""Did you finish your homework?"" Son: ""Hey, did I tell you that I got an A on my physics test today!""",fallacy of relevance
edu,Snarl Words are an example of...,appeal to emotion
edu,"Everybody else is doing it, why don't you?",ad populum
edu,I guess that I should by my 12 year old an iPhone since everyone else has one.,ad populum
edu,"Wife: I'd rather have a dog than a cat
Husband: Why do you hate cats?",fallacy of extension
edu,"Mom: Remember, dear. Nobody's going to buy the cow if they get the milk for free.
Daughter: You are only saying that because you are my mother.
Daughter: Wait... did you just call me a cow?
",ad hominem
edu,"Speaker 1: Dr. Singh says meat eating is bad for the environment.
Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.",ad hominem
edu,"Vietnam War—America, love it or leave it",ad populum
edu,The Geo Metro is a superior car because it averages 43 miles per gallon.,intentional
edu,"A is true because B is true, and B is true because A is true.",circular reasoning
edu,He’s just a psychology teacher at a community college,ad hominem
edu,Everyone is against child pornography. I asked Mrs. Smith and Mr. Jones at the PTA meeting and they are definitely against it.,faulty generalization
edu,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",fallacy of extension
edu,"Grace and Helen were both romantically interested in Brad. One day, with Brad sitting within earshot, Grace asked in an inquisitive tone whether Helen was still having problems with her drug habit.",intentional
edu,Be happy with the 1972 Chevy Nova you drive.  There are many people in this country who don’t even have a car.,fallacy of relevance
edu,Sleeping until noon is the worst thing to do because it is bad to sleep late.,circular reasoning
edu,Why did you steal my keys?,intentional
edu,"If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.",faulty generalization
edu,"If we let the government ban SUVs, then they're going to want to ban trucks! Then they'll want to ban sports cars! Then they'll want to ban all cars!",faulty generalization
edu,"I. Many seats in the private medical colleges in the state have remained vacant this year.
II. The government medical colleges in the state could accommodate all the students who sought admission this year.",false causality
edu,"Steve: I think it is fantastic that you and Sylvia are getting married!
Chuck: I cannot believe you think my getting married only exists in my imagination!  That is what fantastic means, after all.
",equivocation
edu,"A is true because B is true, and B is true because C is true, and C is true because A is true.",circular reasoning
edu,“I didn’t see you at the charity fundraiser today. I guess you are not a good person after all.”,false dilemma
edu,"Callie: Did you know that Jake Tooten was a racist?
Chris: I know Jake well. Why do you say he’s a racist?
Callie: He was on a podcast the other day...
Chris: Did he say something racist?
Callie: No, but the podcast host did an interview two years ago with a woman who said she supported an organization that had a history of racism back in the 1960s. Jake clearly supports racism!",faulty generalization
edu,"Believing that ""runs"" occur to statistically independent phenomena such as roulette wheel spins.",ad populum
edu,"If there is no objective morality, then all the bad people will not be punished for their bad behavior after death.  I don’t like that; therefore, morality must be objective.",appeal to emotion
edu,"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used.""",false causality
edu,“Honesty is defined as always being honest.”,circular reasoning
edu,"""My three decades of experience in public service, my tireless commitment to the people of this community, and my willingness to reach across the aisle and cooperate with the opposition, make me the ideal candidate for your mayor.""  Which appeal is the primary appeal used in this quote?",fallacy of credibility
edu,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track school children and eventually everyone!",faulty generalization
edu,"“Birds can fly; therefore, penguins can fly.”",faulty generalization
edu,"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up.""

What logical fallacy is used in the statement above?",faulty generalization
edu,We have no evidence that the Illuminati ever existed. They must have been so clever they destroyed all the evidence,intentional
edu,"""Tyler's friends are all obnoxious, he's a bad kid,"" Which Fallacy does this statement use?",faulty generalization
edu,"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross. What fallacy have you committed?",ad hominem
edu,There aren't enough parking spaces on campus because there are too many cars.,circular reasoning
edu,"“Because young male drivers are twice as likely to get into a car accident, they should pay more for car insurance.”",faulty generalization
edu,Explaining that trusting the other politician will cause everyone to lose their homes and jobs,appeal to emotion
edu,"Every time I was my car, it rains. Me washing my car has a definite effect on the weather.",false causality
edu,"You should marry me. I know we’re not compatible, but I only have a year to live, and you’re my last chance.",appeal to emotion
edu,"Says Robot 2, attacking Robot 1 instead of his arguments.",ad hominem
edu,"Matt is running for class president. In his campaign speech he says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year.""
What fallacy has Matt committed?",ad hominem
edu,"Speaker 1: Jesus was not really crucified.
Speaker 2: How do I know that’s true?
Speaker 1: Because the Quran says so.
Speaker 2: How do I know the Quran is correct?
Speaker 1: Because the Quran is the Word of God, and everything it says is true.
Speaker 2: How do I know that’s true?
Speaker 1: Because God tells us so, here in the Koran.",circular reasoning
edu,"You should choose to work more overtime at the same rate of pay. After all, you wouldn’t want to lose your job, would you?",appeal to emotion
edu,"In the United States, one can vote for either Democrats or Republicans.",false dilemma
edu,"Nobody in their right mind would trust that guy. I mean, look at him!",ad hominem
edu,The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,ad hominem
edu,Have you stopped beating your wife?,intentional
edu,Nike's are great because they're awesome.,circular reasoning
edu,"Zebedee: What is your view on the Christian God?

Mike: I don’t believe in any gods, including the Christian one.

Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself?

Mike: You got all that from me stating that I just don’t believe in any gods?",fallacy of extension
edu,Jimmy isn't at school today. He must be on a family trip.,false causality
edu,"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",faulty generalization
edu,"My opponent in this debate wants all of you to increase taxes for a recycling program, but his own company has been fined over a dozen times for pollution and environmental damage.",ad hominem
edu,Are you one of those stupid religious people that reject science?,intentional
edu,You moved the goalposts or made up an exception when your claim was shown to be false.,intentional
edu,Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,ad hominem
edu,"(1) William Dembski argues that modern biology supports the idea that there is an intelligent designer who created life.
(2) Dembski would say that because he’s religious.
Therefore:
(3) Modern biology doesn’t support intelligent design",ad hominem
edu,"“Every society is, of course, repressive to some extent – as Sigmund Freud pointed out, repression is the price we pay for civilization.”
",equivocation
edu,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?",ad hominem
edu,"P or Q.
P.
Therefore, not Q.
P or Q.",fallacy of logic
edu,The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.,ad hominem
edu,"Sandy: ""You shouldn’t have that second piece of cake. It’s so fattening.""
Ralph: ""Didn’t you eat an entire tub of ice cream yesterday?""",ad hominem
edu,I've never been hit by lightening when standing under a tree so we'll be perfectly safe to shelter by this oak now.,intentional
edu,"President Clinton is an advocate of socialized medicine, which is a form of communism.",ad populum
edu,My grandmother ate 10 cloves of raw garlic every day. Not surprisingly she lived to be 102.,false causality
edu,politicians coin names to cast blame,ad hominem
edu,"No one has proven God exists, so He doesn’t.",intentional
edu,"I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. Therefore, cell phones should be banned.",false causality
edu,"""My mom said that Colgate is the best toothpaste because almost 90% of dentists approve of this.""

What fallacy is being committed in the sentence above?",ad populum
edu,"Feminism is part of “a socialist, anti-family political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians.” (Statement from Pat Robertson)",fallacy of extension
edu,"Person A: I think pollution from humans contributes to climate change.
Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, typhoons and droughts.",fallacy of extension
edu,"""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses.",fallacy of relevance
edu,"We need to stop allowing colleges to increase tuition every year. The next thing we know, it's going to cost more to attend college for one semester than it is to buy a new home!",faulty generalization
edu,"If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization
edu,Someone really should move this ‘deer crossing’ sign. This is a dangerous stretch of highway and the deer really should be crossing somewhere else.,false causality
edu,Most Arabs are Muslims and all the 9/11 hijackers were also Muslims. Therefore most Arabs are hijackers.,fallacy of logic
edu,“People nowadays only vote with their emotions instead of their brains.”,faulty generalization
edu,"If we are too scared to open the economy completely, then we'll have to keep it closed forever.",false dilemma
edu,I'm hardly prepared to listen to the arguments of an ignorant moron like you.,ad hominem
edu,"Speaker 1: We are using thousands of people, who are going door to door to help us spread the word about social injustice and the need for change.
Speaker: Well then, I can’t be a part of this because I was always been taught that it’s wrong to use people.",equivocation
edu,They are dangerous militants out to destroy our peaceful way of life.,appeal to emotion
edu,"""The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.""",ad hominem
edu,"Everyone knows that Japanese DVD players are the best. After all, the outsell American players two-to-one.",ad populum
edu,Taco is the best because it tastes better.,circular reasoning
edu,"Whatever is less dense than water will float, because such objects won't sink in water.",circular reasoning
edu,"I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test.",false causality
edu,"If you miss practice, it means you were probably goofing off. People who goof off drop out of school and end up penniless.",faulty generalization
edu,"There you are cheating on your husband, how could you ever tell us anything meaningful about ethics?",ad hominem
edu,Appeals to an authority that has little to nothing to do with the argument,fallacy of credibility
edu,My teacher told us she learned the hard way that procrastination is a bad habit!,faulty generalization
edu,"I broke my mirror this morning, AND I failed my Civics test. I must've failed because the mirror gave me bad luck.",false causality
edu,You know Jane Fonda's exercise videos must be worth the money. Look at the great shape she's in.,false causality
edu,"My first time meeting Mr. Casal went poorly, so his class will not be a good one this year.",faulty generalization
edu,"Bill claims that tax breaks for corporations increases development. Of course, Bill is the CEO of a corporation.",ad hominem
edu,"Being mean to others is wrong.
Therefore, it cannot possibly be part of our nature.",fallacy of relevance
edu,"If one is 16 years old or older, one can drive an automobile in Wisconsin.  I saw  your niece driving through Wausau yesterday.  She must be at least 16.",fallacy of logic
edu,The milk was left out all night and was spoiled. It should have been put in the refrigerator,false causality
edu,"I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite.",ad hominem
edu,"To this very day (at the time of this writing), science has been unable to create life from non-life; therefore, life must be a result of divine intervention.",intentional
edu,"Edward Johns claimed to be psychic, but when his 'abilities' were tested under proper scientific conditions, they magically disappeared. Edward explained this saying that one had to have faith in his abilities for them to work.",intentional
edu,"I must be telling the truth, since I’m not lying.",circular reasoning
edu,"Speaker 1: I think we should have an expanded social safety net for the poor in our country.
Speaker 2: So, you think we should just throw money at lazy people who don’t want to work and think they are entitled to be kept up by other people, right?",fallacy of extension
edu,"The Bible is the Word of God because God tells us it is... in the Bible.

X is true because of Y.
Y is true because of X.",circular reasoning
edu,"""He just says that because he's a Republican.""",ad hominem
edu,"We haven’t found King David’s tomb, so King David didn’t really exist.",intentional
edu,"Today late for ten minutes, tomorrow late for an hour, and then someday you will simply cease to show up.",faulty generalization
edu,We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.,ad hominem
edu,"There are so many experiences in the human realm that are wonderful. Sexual intimacy between two willing adults who love each other is wonderful. A therapist helping a client is wonderful. When the relationship between a therapist and client is so deep that it could be characterized as love, it's wonderful. When all these acts become part of one process between two people, it must be exceptionally wonderful. How could anyone condemn such a wonderfully human process as unethical?",faulty generalization
edu,"That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.",ad hominem
edu,My uncle is a mechanic and he says you shouldn't spank children. He says it's ineffective.,fallacy of credibility
edu,"If I say that a surgeon should be allowed to use a guidebook to carry out surgery like a student can use open notes on a test, I have made a",fallacy of logic
edu,"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",ad hominem
edu,", if everyone else is doing something, it must be right/good.",ad populum
edu,"There must be objective rights and wrongs in the universe. If not, how can you possibly say that torturing babies for fun could ever be right?",appeal to emotion
edu,In many cases you can't really tell whether patients are improving because of what the therapist is doing or because of the placebo effect—there's a fuzzy line separating the two--so we must conclude that they are actually the same mechanism of improvement.,equivocation
edu,"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!",ad populum
edu,"""You cannot detain me. I am still grieving my cat's death.""",appeal to emotion
edu,I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,false causality
edu,"Wilma: You cheated on your income tax. Don't you realize that's wrong
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?",ad hominem
edu,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",ad populum
edu,Old Major's speech claiming that ALL the animals will unite and revolt against the humans,ad populum
edu,Words with strong feelings that bring about feelings in the reader. Strong words (+ or -) specifically used to sway the reader,appeal to emotion
edu,"Trisha: In an interview, your candidate admitted that he was a thief!
Derek: He actually said that when he was three years old, he stole a lollipop from a store, and felt so guilty, that he never stole anything again.
",intentional
edu,Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.,false causality
edu,Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,faulty generalization
edu,What persuasive technique is being used in this photo?,ad populum
edu,"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",faulty generalization
edu,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in.,false causality
edu,We can either stop using cars or destroy the earth.,false dilemma
edu,"Radio talk show host, on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning: “Who are these people? They talk to maybe 30 people at a time. I talk to 5 million people every day. They could not begin to do what I do. They are just gnats flying around getting in the way.”",fallacy of relevance
edu,"Oh, please. What would you know about labor laws? You don’t even have a job.",ad hominem
edu,"""University of Virginia professor [Charlotte] Patterson, considered a leading researcher in the field, says she has reviewed 22 studies involving offspring of gays ranging from toddlers to adults. She found none convincing [sic] that the children had suffered or were more than normally inclined to be gay. [...] Conservatives discredit Patterson by pointing out that she is an acknowledged lesbian, with a presumed ideological interest in the subject she studies.""",ad hominem
edu,"Same-sex marriage must be prohibited, or the family structure as we know it will  collapse.",appeal to emotion
edu,"Girl:"" I'm worried that my friend is mad at me.""
Friend: ""I wonder what you call a male lady bug?""",fallacy of logic
edu,"All babysitters have pimples.
All babysitter club members are babysitters.
Therefore, some babysitter club members have pimples.Example #2:
All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods.",fallacy of logic
edu,"Kent: My new car is really fast.

Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",fallacy of extension
edu,You're wrong because you're ugly!,ad hominem
edu,"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality
edu,Someone who says something which does not flow logically in the conversation is guilty of using:,fallacy of logic
edu,"If you don't say the pledge of allegiance, then you must be a traitor.",false dilemma
edu,Nobody thinks homelessness is a good thing.,faulty generalization
edu,“We shouldn’t even bother to interview that job applicant. He has a beard.”,ad hominem
edu,People are like dogs. They respond best to clear discipline.,fallacy of logic
edu,My phone charger is broken because it doesn't work.,circular reasoning
edu,"It looks like the waiter forgot to charge us for the expensive bottle of champagne.  Let’s just leave -- after all, if he overcharged us, I doubt he would chase us down to give us our money back that we overpaid.",fallacy of relevance
edu,"Superstition is a belief or practice resulting from ignorance, fear of the unknown, trust in magic or chance, or a false conception of causation -- unless it is astrology.",intentional
edu,Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.,fallacy of extension
edu,AttP 11: It is okay to walk across Mr. Jones's property as evidenced by other people walking on his property.,ad populum
edu,"“Your coach’s policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won’t be a starter in Friday’s game. Then you won’t be the first freshman to start on the Varsity basketball team at our school.”'",faulty generalization
edu,The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it.,fallacy of relevance
edu,Which of the following is true?,fallacy of relevance
edu,"“Don’t worry about eating fast food. After all, millions of Americans eat it every day.”",ad populum
edu,"Violence among teens has risen the last five years. Video game playing among teens has also risen the last five years. Therefore, playing video games causes teens to be violent.",false causality
edu,"“If America doesn’t send weapons to the Syrian rebels, they won’t be able to defend themselves against their warring dictator. They’ll lose their civil war, and that dictator will oppress them, and the Soviets will consequently carve out a sphere of influence that spreads across the entire Middle East.",faulty generalization
edu,"I believe in supernatural beings because every time I drive past the cemetery where  my grandmother is buried, a light on my dashboard flashes.  Her spirit causes this because it never happens otherwise.",false causality
edu,"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think, and they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",false dilemma
edu,"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",ad hominem
edu,"If it was raining outside, it would be dark. It’s dark outside, so it must be raining.",fallacy of logic
edu,Our gang will beat up anyone who doesn’t vote our way,appeal to emotion
edu,"Person 1: I think pollution is the cause of climate change.

Person 2: So you think humans cause hurricanes and tornadoes and tsunamis?",fallacy of extension
edu,"Everything I say is true. This is true because I said it, and everything I say is true.",circular reasoning
